Grading points,Self Assessment score,Evidence
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,
Question 5.1: Does your software describe how a user can get help with using your software?,Yes,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,Yes,
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,No,
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,
Question 6.1: Is your software’s architecture and design modular?,Yes,
Question 6.2: Does your software use an accepted coding standard or convention?,Yes,
Question 7.1: Does your software allow data to be imported and exported using open data formats?,No,
Question 7.2: Does your software allow communications using open communications protocols?,Yes,
Question 8.1: Is your software cross-platform compatible?,Yes,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,Yes,
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
Question 10.1: Is your source code stored in a repository under revision control?,Yes,
Question 10.2: Is each source code release a snapshot of the repository?,Yes,
Question 10.3: Are releases tagged in the repository?,Yes,
Question 10.4: Is there a branch of the repository that is always stable?,Yes,
Question 10.5: Do you back-up your repository?,Yes,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,
"Question 11.2: Can you build, or package, your software using an automated tool?",No,
Question 11.3: Do you provide publicly-available instructions for deploying your software?,Yes,
Question 11.4: Does your documentation list all third-party dependencies?,Yes,
Question 11.5: Does your documentation list the version number for all third-party dependencies?,Yes,
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
Question 11.7: Can you download dependencies using a dependency management tool or package manager?,Yes,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,
Question 12.1: Do you have an automated test suite for your software?,Yes,
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
Question 12.4: Are your test results publicly visible?,No,
Question 12.5: Are all manually-run tests documented?,No,
Question 13.1: Does your project have resources that are regularly updated with information about your software?,No,
Question 13.2: Does your website state how many projects and users are associated with your project?,No,
Question 13.3: Do you provide success stories on your website?,No,
Question 13.4: Do you list your important partners and collaborators on your website?,No,"It's specified in the repo, but not on product's interface"
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,Yes,https://doi.org/10.5281/zenodo.5368008
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Yes,https://doi.org/10.5281/zenodo.5368008
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,Yes,Possible through github
"Question 13.8: If your software is developed as an open source project, do you have a governance model?",Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/CONTRIBUTING.md
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
Question 14.2: Do you have a contributions policy?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/CONTRIBUTING.md
Question 14.3: Is your contributions' policy publicly available?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/CONTRIBUTING.md
Question 14.4: Do contributors keep the copyright/IP of their contributions?,No,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/LICENSE
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/LICENSE
Question 15.2: Does each of your source code files include a copyright statement?,No,
Question 15.3: Does your website and documentation clearly state the licence of your software?,Yes,
Question 15.4: Is your software released under an open source licence?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/LICENSE
Question 15.5: Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/LICENSE
Question 15.6: Does each of your source code files include a licence header,No,
Question 15.7: Do you have a recommended citation for your software?,Yes,https://github.com/Ashwinshankar98/ClassMateBot/blob/main/CITATION.md
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,https://github.com/Ashwinshankar98/ClassMateBot/projects/2
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
